INFO 2024-05-23 21:15:14,464 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-23 21:15:14,466 autoreload Waiting for apps ready_event.
DEBUG 2024-05-23 21:15:14,818 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-23 21:15:14,858 autoreload Watching dir C:\Users\Genius\anaconda3.0\envs\myDjangoEnv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-05-23 21:15:14,858 autoreload Watching dir C:\Users\Genius\Documents\Projects\DatasetsApi\Capstone\myproject\templates with glob **/*.
DEBUG 2024-05-23 21:15:14,859 autoreload Watching dir C:\Users\Genius\Documents\Projects\DatasetsApi\Capstone\myproject\datasets\templates with glob **/*.
DEBUG 2024-05-23 21:15:14,861 autoreload Watching dir C:\Users\Genius\Documents\Projects\DatasetsApi\Capstone\myproject\locale with glob **/*.mo.
DEBUG 2024-05-23 21:15:14,862 autoreload Watching dir C:\Users\Genius\anaconda3.0\envs\myDjangoEnv\lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-05-23 21:15:14,862 autoreload Watching dir C:\Users\Genius\anaconda3.0\envs\myDjangoEnv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-05-23 21:15:14,863 autoreload Watching dir C:\Users\Genius\Documents\Projects\DatasetsApi\Capstone\myproject\datasets\locale with glob **/*.mo.
DEBUG 2024-05-23 21:15:14,931 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-05-23 21:15:14,935 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-23 21:15:15,077 autoreload File C:\Users\Genius\anaconda3.0\envs\myDjangoEnv\Lib\site-packages\docutils\readers\doctree.py first seen with mtime 1712670255.1365952
DEBUG 2024-05-23 21:15:15,078 autoreload File C:\Users\Genius\anaconda3.0\envs\myDjangoEnv\Lib\os.py first seen with mtime 1692905792.0
